timestamp,asset_name,plan_category,asset_class,sub_asset_class,sector,geography,country,currency,mtm_cad,market_exposure_cad,fx_exposure_cad,duration,equity_beta,inflation_beta,fx_delta,carbon_intensity,esg_score
2026-01-30,Nominal Bonds_5555,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,609.38,609.38,60.94,7.8,0.0,0.0,0.0,17.9,70.7
2026-01-30,Nominal Bonds_3747,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,620.17,620.17,62.02,7.6,-0.21,0.0,0.0,16.9,79.8
2026-01-30,Nominal Bonds_4556,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,703.67,703.67,70.37,8.2,-0.12,0.0,0.0,21.9,70.2
2026-01-30,Nominal Bonds_7235,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,614.74,614.74,61.47,7.5,-0.02,0.0,0.0,17.3,75.0
2026-01-30,Nominal Bonds_4943,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,616.68,616.68,61.67,8.2,-0.04,0.0,0.0,27.6,77.6
2026-01-30,Nominal Bonds_7873,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,580.38,580.38,58.04,6.9,-0.1,0.0,0.0,20.9,77.6
2026-01-30,Nominal Bonds_2016,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,647.1,647.1,64.71,7.1,0.03,0.0,0.0,28.2,78.7
2026-01-30,Nominal Bonds_7331,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,626.52,626.52,62.65,7.4,0.01,0.0,0.0,22.9,82.1
2026-01-30,Nominal Bonds_6892,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,651.73,651.73,65.17,8.4,0.02,0.0,0.0,23.0,67.8
2026-01-30,Nominal Bonds_3454,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,620.35,620.35,62.03,8.6,0.12,0.0,0.0,12.1,80.1
2026-01-30,Nominal Bonds_9110,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,560.07,560.07,56.01,8.5,0.1,0.0,0.0,24.0,87.0
2026-01-30,Nominal Bonds_7938,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,634.39,634.39,63.44,6.7,0.08,0.0,0.0,20.4,72.6
2026-01-30,Nominal Bonds_2757,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,626.7,626.7,62.67,7.0,0.03,0.0,0.0,14.9,63.7
2026-01-30,Nominal Bonds_7668,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,629.78,629.78,62.98,7.9,-0.04,0.0,0.0,22.5,84.3
2026-01-30,Nominal Bonds_4627,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,631.86,631.86,63.19,8.2,0.1,0.0,0.0,19.0,68.8
2026-01-30,Nominal Bonds_6592,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,612.62,612.62,61.26,7.6,-0.03,0.0,0.0,18.0,63.3
2026-01-30,Nominal Bonds_8526,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,633.08,633.08,63.31,8.1,0.01,0.0,0.0,13.8,90.6
2026-01-30,Nominal Bonds_1663,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,619.06,619.06,61.91,7.9,0.04,0.0,0.0,29.4,76.4
2026-01-30,Nominal Bonds_2291,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,631.87,631.87,63.19,8.0,-0.0,0.0,0.0,11.6,66.4
2026-01-30,Nominal Bonds_1698,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,592.88,592.88,59.29,8.0,0.25,0.0,0.0,19.0,77.4
2026-01-30,Nominal Bonds_6791,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,622.76,622.76,62.28,7.4,0.22,0.0,0.0,26.2,73.3
2026-01-30,Nominal Bonds_9958,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,602.34,602.34,60.23,7.9,0.14,0.0,0.0,19.8,76.7
2026-01-30,Nominal Bonds_5282,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,639.82,639.82,63.98,8.3,0.17,0.0,0.0,24.4,75.1
2026-01-30,Nominal Bonds_9338,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,612.44,612.44,61.24,7.6,-0.03,0.0,0.0,19.3,79.9
2026-01-30,Nominal Bonds_2802,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,662.8,662.8,66.28,8.0,-0.08,0.0,0.0,18.4,81.5
2026-01-30,Nominal Bonds_9815,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,585.45,585.45,58.54,8.7,0.25,0.0,0.0,18.4,73.4
2026-01-30,Nominal Bonds_4170,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,578.92,578.92,57.89,8.6,0.08,0.0,0.0,22.4,72.7
2026-01-30,Nominal Bonds_2648,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,657.07,657.07,65.71,8.1,-0.07,0.0,0.0,29.3,78.8
2026-01-30,Nominal Bonds_9352,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,586.68,586.68,58.67,8.3,-0.0,0.0,0.0,18.1,71.3
2026-01-30,Nominal Bonds_2218,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,589.14,589.14,58.91,8.4,0.19,0.0,0.0,18.8,69.0
2026-01-30,Nominal Bonds_4436,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,596.09,596.09,59.61,7.6,0.09,0.0,0.0,19.9,59.5
2026-01-30,Nominal Bonds_8022,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,597.41,597.41,59.74,7.3,-0.0,0.0,0.0,15.2,82.8
2026-01-30,Nominal Bonds_9208,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,625.15,625.15,62.51,7.9,-0.0,0.0,0.0,21.0,79.9
2026-01-30,Nominal Bonds_2060,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,612.96,612.96,61.3,7.9,0.07,0.0,0.0,17.7,81.2
2026-01-30,Nominal Bonds_4327,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,656.45,656.45,65.65,7.8,-0.23,0.0,0.0,18.7,83.8
2026-01-30,Nominal Bonds_6442,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,613.38,613.38,61.34,7.6,0.02,0.0,0.0,20.3,65.9
2026-01-30,Nominal Bonds_9096,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,635.0,635.0,63.5,8.3,0.04,0.0,0.0,16.4,60.6
2026-01-30,Nominal Bonds_1537,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,638.43,638.43,63.84,8.2,0.03,0.0,0.0,20.1,82.0
2026-01-30,Nominal Bonds_3368,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,668.67,668.67,66.87,8.0,-0.02,0.0,0.0,16.6,75.5
2026-01-30,Nominal Bonds_6919,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,611.07,611.07,61.11,7.8,0.01,0.0,0.0,31.6,60.1
2026-01-30,Nominal Bonds_8509,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,645.24,645.24,64.52,7.2,0.04,0.0,0.0,10.6,82.7
2026-01-30,Nominal Bonds_6691,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,607.9,607.9,60.79,8.3,-0.13,0.0,0.0,31.9,89.7
2026-01-30,Nominal Bonds_5465,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,666.37,666.37,66.64,8.4,-0.2,0.0,0.0,20.9,69.7
2026-01-30,Nominal Bonds_6177,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,650.43,650.43,65.04,7.6,0.17,0.0,0.0,18.3,72.5
2026-01-30,Nominal Bonds_1559,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,633.75,633.75,63.38,7.2,0.03,0.0,0.0,31.2,68.7
2026-01-30,Nominal Bonds_8004,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,683.84,683.84,68.38,7.2,-0.05,0.0,0.0,26.3,69.3
2026-01-30,Nominal Bonds_7617,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,637.68,637.68,63.77,8.4,-0.32,0.0,0.0,14.9,73.0
2026-01-30,Nominal Bonds_6881,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,584.92,584.92,58.49,8.8,0.13,0.0,0.0,19.4,71.3
2026-01-30,Nominal Bonds_5611,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,625.66,625.66,62.57,9.2,0.06,0.0,0.0,20.7,84.4
2026-01-30,Nominal Bonds_7833,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,640.41,640.41,64.04,7.5,0.02,0.0,0.0,22.4,78.7
2026-01-30,Nominal Bonds_4913,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,659.3,659.3,65.93,8.2,-0.07,0.0,0.0,15.7,70.6
2026-01-30,Nominal Bonds_9945,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,584.31,584.31,58.43,7.8,0.02,0.0,0.0,24.4,71.3
2026-01-30,Nominal Bonds_8668,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,604.43,604.43,60.44,7.8,0.05,0.0,0.0,19.1,74.3
2026-01-30,Nominal Bonds_8164,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,608.06,608.06,60.81,7.6,-0.06,0.0,0.0,23.7,79.9
2026-01-30,Nominal Bonds_6073,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,623.19,623.19,62.32,8.1,0.05,0.0,0.0,12.4,76.4
2026-01-30,Nominal Bonds_4440,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,657.25,657.25,65.72,8.6,0.09,0.0,0.0,16.9,64.3
2026-01-30,Nominal Bonds_1728,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,613.67,613.67,61.37,9.6,0.07,0.0,0.0,18.4,77.6
2026-01-30,Nominal Bonds_5946,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,619.78,619.78,61.98,7.6,-0.0,0.0,0.0,21.0,68.6
2026-01-30,Nominal Bonds_4636,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,578.9,578.9,57.89,8.1,0.06,0.0,0.0,23.1,74.9
2026-01-30,Nominal Bonds_7541,Asset,Fixed Income,Nominal Bonds,Government,North America,Canada,CAD,595.85,595.85,59.59,7.0,0.18,0.0,0.0,18.5,81.4
2026-01-30,Real Return Bonds_2542,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,642.99,642.99,0.0,14.7,-0.14,1.0,0.0,18.1,82.1
2026-01-30,Real Return Bonds_2540,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,616.55,616.55,0.0,13.2,0.01,1.0,0.0,25.3,76.9
2026-01-30,Real Return Bonds_8494,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,613.94,613.94,0.0,14.2,-0.07,1.0,0.0,18.9,77.5
2026-01-30,Real Return Bonds_5186,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,669.86,669.86,0.0,13.6,-0.12,1.0,0.0,12.1,71.6
2026-01-30,Real Return Bonds_7619,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,668.87,668.87,0.0,13.0,0.06,1.0,0.0,22.7,81.7
2026-01-30,Real Return Bonds_1504,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,659.19,659.19,0.0,13.3,-0.08,1.0,0.0,18.3,78.7
2026-01-30,Real Return Bonds_6348,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,626.01,626.01,0.0,14.5,0.08,1.0,0.0,14.7,69.4
2026-01-30,Real Return Bonds_4584,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,593.67,593.67,0.0,14.6,0.18,1.0,0.0,19.4,82.8
2026-01-30,Real Return Bonds_7819,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,578.52,578.52,0.0,14.4,-0.21,1.0,0.0,17.4,68.9
2026-01-30,Real Return Bonds_5835,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,628.53,628.53,0.0,13.0,0.04,1.0,0.0,22.9,82.8
2026-01-30,Real Return Bonds_1009,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,646.98,646.98,0.0,14.7,0.12,1.0,0.0,17.7,61.3
2026-01-30,Real Return Bonds_4925,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,666.07,666.07,0.0,14.1,0.12,1.0,0.0,21.1,71.1
2026-01-30,Real Return Bonds_2460,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,674.96,674.96,0.0,14.1,0.16,1.0,0.0,23.0,69.8
2026-01-30,Real Return Bonds_8245,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,666.13,666.13,0.0,13.7,-0.08,1.0,0.0,15.6,69.6
2026-01-30,Real Return Bonds_4419,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,634.32,634.32,0.0,14.2,-0.35,1.0,0.0,18.7,70.9
2026-01-30,Real Return Bonds_2077,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,651.69,651.69,0.0,14.2,0.13,1.0,0.0,7.0,69.8
2026-01-30,Real Return Bonds_5530,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,642.36,642.36,0.0,14.6,0.02,1.0,0.0,24.0,75.4
2026-01-30,Real Return Bonds_9017,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,631.34,631.34,0.0,13.4,-0.2,1.0,0.0,18.7,80.7
2026-01-30,Real Return Bonds_6115,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,670.7,670.7,0.0,14.0,0.02,1.0,0.0,10.6,82.7
2026-01-30,Real Return Bonds_1137,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,643.98,643.98,0.0,14.0,0.08,1.0,0.0,18.6,61.7
2026-01-30,Real Return Bonds_5300,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,623.65,623.65,0.0,14.2,0.04,1.0,0.0,13.1,78.9
2026-01-30,Real Return Bonds_8830,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,559.5,559.5,0.0,14.2,-0.09,1.0,0.0,17.4,66.5
2026-01-30,Real Return Bonds_5188,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,621.88,621.88,0.0,14.5,0.01,1.0,0.0,21.8,79.9
2026-01-30,Real Return Bonds_6585,Asset,Fixed Income,Real Return Bonds,Government,North America,Canada,CAD,607.35,607.35,0.0,13.6,-0.06,1.0,0.0,12.8,73.5
2026-01-30,Developed Markets_8240,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,625.63,625.63,625.63,-1.1,1.2,0.1,1.0,15.5,76.0
2026-01-30,Developed Markets_3878,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,685.39,685.39,685.39,0.1,1.2,0.1,1.0,24.0,75.6
2026-01-30,Developed Markets_3125,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,647.82,647.82,647.82,-0.4,1.36,0.1,1.0,18.8,79.6
2026-01-30,Developed Markets_3797,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,633.55,633.55,633.55,-0.2,1.29,0.1,1.0,15.6,73.2
2026-01-30,Developed Markets_2062,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,599.79,599.79,599.79,0.3,1.09,0.1,1.0,16.7,68.8
2026-01-30,Developed Markets_7288,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,612.9,612.9,612.9,-0.2,0.99,0.1,1.0,26.7,64.5
2026-01-30,Developed Markets_8943,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,704.11,704.11,704.11,-0.3,1.35,0.1,1.0,29.9,62.8
2026-01-30,Developed Markets_3739,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,588.41,588.41,588.41,0.5,1.39,0.1,1.0,13.0,79.5
2026-01-30,Developed Markets_7986,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,603.54,603.54,603.54,-0.2,1.22,0.1,1.0,24.5,74.9
2026-01-30,Developed Markets_6560,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,637.92,637.92,637.92,0.1,1.38,0.1,1.0,26.2,74.3
2026-01-30,Developed Markets_5208,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,595.46,595.46,595.46,0.3,1.38,0.1,1.0,21.3,73.3
2026-01-30,Developed Markets_2917,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,628.16,628.16,628.16,-0.0,1.08,0.1,1.0,16.7,75.4
2026-01-30,Developed Markets_7038,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,597.0,597.0,597.0,-0.2,1.06,0.1,1.0,21.1,70.3
2026-01-30,Developed Markets_2342,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,631.98,631.98,631.98,0.6,1.28,0.1,1.0,16.4,94.5
2026-01-30,Developed Markets_8984,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,568.62,568.62,568.62,-0.5,1.25,0.1,1.0,23.2,80.5
2026-01-30,Developed Markets_4530,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,619.33,619.33,619.33,0.0,1.18,0.1,1.0,25.8,77.0
2026-01-30,Developed Markets_7413,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,634.37,634.37,634.37,-0.2,1.25,0.1,1.0,22.4,70.4
2026-01-30,Developed Markets_1077,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,602.61,602.61,602.61,-1.1,1.24,0.1,1.0,18.6,82.6
2026-01-30,Developed Markets_7943,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,616.04,616.04,616.04,0.7,1.01,0.1,1.0,18.2,75.1
2026-01-30,Developed Markets_3712,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,676.13,676.13,676.13,-0.6,1.04,0.1,1.0,16.3,75.4
2026-01-30,Developed Markets_9389,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,631.39,631.39,631.39,-0.8,1.22,0.1,1.0,22.8,68.0
2026-01-30,Developed Markets_6742,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,611.35,611.35,611.35,0.3,1.43,0.1,1.0,20.9,77.0
2026-01-30,Developed Markets_1950,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,609.51,609.51,609.51,-0.4,1.16,0.1,1.0,17.9,74.6
2026-01-30,Developed Markets_2865,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,681.26,681.26,681.26,0.5,1.15,0.1,1.0,18.7,67.2
2026-01-30,Developed Markets_3371,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,609.98,609.98,609.98,0.2,1.3,0.1,1.0,24.9,86.1
2026-01-30,Developed Markets_1793,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,655.3,655.3,655.3,-0.4,1.08,0.1,1.0,11.1,87.0
2026-01-30,Developed Markets_3443,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,644.25,644.25,644.25,-0.0,1.17,0.1,1.0,17.8,80.1
2026-01-30,Developed Markets_8147,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,672.64,672.64,672.64,0.9,1.26,0.1,1.0,21.1,78.5
2026-01-30,Developed Markets_7024,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,631.64,631.64,631.64,-0.6,1.36,0.1,1.0,17.4,67.1
2026-01-30,Developed Markets_4476,Asset,Public Equities,Developed Markets,Info Tech,North America,USA,USD,619.92,619.92,619.92,-0.2,1.16,0.1,1.0,17.6,82.6
